2020-04-18 18:09:23 | INFO | org.springframework.boot.devtools.restart.RestartApplicationListener | onApplicationStartingEvent:72 | Restart disabled due to an agent-based reloader being active
2020-04-18 18:09:26 | INFO | org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor | logTo:225 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-18 18:09:27 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$90a8e302] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 18:09:28 | INFO | com.xnpool.setting.SettingApplication | logStartupProfileInfo:655 | The following profiles are active: dev
2020-04-18 18:09:30 | INFO | org.springframework.cloud.context.scope.GenericScope | setSerializationId:294 | BeanFactory id=7b5e3f9b-7929-32c1-8aec-9eca46cb9284
2020-04-18 18:09:31 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$90a8e302] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 18:09:32 | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | initialize:92 | Tomcat initialized with port(s): 8766 (http)
2020-04-18 18:09:32 | INFO | org.apache.coyote.http11.Http11NioProtocol | log:173 | Initializing ProtocolHandler ["http-nio-8766"]
2020-04-18 18:09:32 | INFO | org.apache.catalina.core.StandardService | log:173 | Starting service [Tomcat]
2020-04-18 18:09:32 | INFO | org.apache.catalina.core.StandardEngine | log:173 | Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-18 18:09:33 | INFO | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/setting] | log:173 | Initializing Spring embedded WebApplicationContext
2020-04-18 18:09:33 | INFO | org.springframework.web.context.ContextLoader | prepareWebApplicationContext:284 | Root WebApplicationContext: initialization completed in 4598 ms
2020-04-18 18:09:33 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:47 | JedisPool注入成功！！
2020-04-18 18:09:33 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:48 | redis地址：112.126.65.15:6379
2020-04-18 18:09:33 | INFO | com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure | dataSource:56 | Init DruidDataSource
2020-04-18 18:09:55 | INFO | com.alibaba.druid.pool.DruidDataSource | init:928 | {dataSource-1} inited
2020-04-18 18:09:55 | INFO | org.apache.catalina.core.StandardService | log:173 | Stopping service [Tomcat]
2020-04-18 18:09:55 | INFO | org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener | logMessage:136 | 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2020-04-18 18:28:29 | INFO | org.springframework.boot.devtools.restart.RestartApplicationListener | onApplicationStartingEvent:72 | Restart disabled due to an agent-based reloader being active
2020-04-18 18:28:31 | INFO | org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor | logTo:225 | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-18 18:28:31 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$291fa606] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 18:28:32 | INFO | com.xnpool.setting.SettingApplication | logStartupProfileInfo:655 | The following profiles are active: test
2020-04-18 18:28:34 | INFO | org.springframework.cloud.context.scope.GenericScope | setSerializationId:294 | BeanFactory id=7b5e3f9b-7929-32c1-8aec-9eca46cb9284
2020-04-18 18:28:34 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$291fa606] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 18:28:35 | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | initialize:92 | Tomcat initialized with port(s): 8766 (http)
2020-04-18 18:28:36 | INFO | org.apache.coyote.http11.Http11NioProtocol | log:173 | Initializing ProtocolHandler ["http-nio-8766"]
2020-04-18 18:28:36 | INFO | org.apache.catalina.core.StandardService | log:173 | Starting service [Tomcat]
2020-04-18 18:28:36 | INFO | org.apache.catalina.core.StandardEngine | log:173 | Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-18 18:28:36 | INFO | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/setting] | log:173 | Initializing Spring embedded WebApplicationContext
2020-04-18 18:28:36 | INFO | org.springframework.web.context.ContextLoader | prepareWebApplicationContext:284 | Root WebApplicationContext: initialization completed in 3824 ms
2020-04-18 18:28:36 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:47 | JedisPool注入成功！！
2020-04-18 18:28:36 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:48 | redis地址：127.0.0.1:6379
2020-04-18 18:28:37 | INFO | com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure | dataSource:56 | Init DruidDataSource
2020-04-18 18:28:37 | INFO | com.alibaba.druid.pool.DruidDataSource | init:928 | {dataSource-1} inited
2020-04-18 18:28:38 | INFO | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer | startServer:58 | LiveReload server is running on port 35729
2020-04-18 18:28:39 | INFO | com.netflix.config.sources.URLConfigurationSource | <init>:122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-18 18:28:39 | INFO | com.netflix.config.sources.URLConfigurationSource | <init>:122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-18 18:28:39 | INFO | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | initialize:181 | Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 18:28:41 | INFO | org.springframework.cloud.netflix.eureka.InstanceInfoFactory | create:71 | Setting initial instance status as: STARTING
2020-04-18 18:28:41 | INFO | com.netflix.discovery.DiscoveryClient | <init>:349 | Initializing Eureka in region us-east-1
2020-04-18 18:28:41 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:70 | Using JSON encoding codec LegacyJacksonJson
